dataset,model,architecture,protocol_version,keep_ratio,block_size,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std
cifar10,ssb-v2,cnn,protocol-v3,1.0,0,5,0.74298,0.008561950712308482,0.779068,0.009458600319286138,5.852551660681045,0.017027924985962832,16.123921655422905,0.026192495783547376,735.6474078218243,1.3574970684212064,12.447490283788648,0.0755188598387411
cifar10,ssb-v2,mlp,protocol-v3,0.2,0,5,0.12212,0.016315238275918617,0.11276800000000001,0.0074020888943594826,1.4889929498777952,0.004064877860090872,4.952266162274418,0.023108462600679523,1007.883479859335,8.180034581207972,6.987112208211329,0.017064429929971803
cifar10,ssb-v2,mlp,protocol-v3,0.4,0,5,0.18052,0.043322592258543346,0.195076,0.04774123877739245,1.4899608055355433,0.012748536866823243,6.28741427804263,0.023606478995430367,1056.6018195865304,2.4441222859887466,7.3940484502119945,0.08162263753605029
cifar10,ssb-v2,mlp,protocol-v3,0.6,0,5,0.39186,0.009298548273789828,0.379228,0.01122586834057837,1.4819568514550294,0.004414523279061292,7.45476864223528,0.018701322501616907,1064.5774030264279,2.256955786144604,7.752267307811417,0.04723548924533212
cifar10,ssb-v2,mlp,protocol-v3,0.8,0,5,0.45359999999999995,0.010033444074693393,0.45632399999999995,0.003255991400480039,1.4731026512632899,0.005684054858873408,8.3716933460781,0.04062250311352532,1012.6104140025576,7.756216636987819,8.189956424792763,0.03909137840093516
cifar10,ssb-v2,mlp,protocol-v3,1.0,0,5,0.49932,0.010879430132134651,0.517072,0.0020538062226023632,1.452654707150203,0.005661380206052455,8.315352702091294,0.05010893686728873,719.8322596973572,1.595656370819902,8.577861733210739,0.038303809843809614
cifar10,ssb-v2-block,cnn,protocol-v3,0.2,8,5,0.18856,0.10357756996570251,0.20385599999999998,0.049489193567889146,5.909505608133868,0.021715188089549288,13.987922297823548,0.022437869998220433,797.2405024509804,0.8652724975647386,11.549548708403018,0.013278277354238147
cifar10,ssb-v2-block,cnn,protocol-v3,0.2,16,5,0.22652,0.07193022313325602,0.19250399999999998,0.05286508753421298,5.910100704680234,0.006858212140060004,13.869121847102544,0.010140747976342844,776.1855605285593,2.61652003051928,11.521809158206452,0.027919194167611516
cifar10,ssb-v2-block,cnn,protocol-v3,0.2,32,5,0.1606,0.0434766029031708,0.174016,0.049289819232778684,5.923078454298833,0.009946282709121155,13.795982572037238,0.012213081105170843,759.8807837809037,1.8577002038456112,11.550332566606812,0.0517171558091159
cifar10,ssb-v2-block,cnn,protocol-v3,0.2,64,5,0.13712,0.0414813452048026,0.14024799999999998,0.02261237979514761,5.919167583904323,0.006750130141883878,13.732348297458993,0.018780696706919123,749.3097106777493,1.4838120749737518,11.517487716593314,0.02230957834556092
cifar10,ssb-v2-block,cnn,protocol-v3,0.2,128,5,0.13858,0.047164626575432564,0.139404,0.017466793638215346,5.899353756897582,0.011732994449763747,13.66057631809566,0.014543097216589699,741.157693947144,0.5563856188701052,11.49418929980602,0.03156210101007999
cifar10,ssb-v2-block,cnn,protocol-v3,0.4,8,5,0.5304,0.040594396164988084,0.5099560000000001,0.030964829726643103,5.886672348375894,0.008285966196581403,14.655562870465218,0.015305146244477895,814.6844948849105,1.7643087568746594,11.745720432815142,0.031404802257233216
cifar10,ssb-v2-block,cnn,protocol-v3,0.4,16,5,0.48873999999999995,0.05499548163258506,0.46094799999999997,0.0471731398149413,5.871198044560613,0.006483659447120559,14.506130975127991,0.01167989026049578,787.7163096760444,3.20377792441198,11.749685975001194,0.039780422101531654
cifar10,ssb-v2-block,cnn,protocol-v3,0.4,32,5,0.4908200000000001,0.04391522515028247,0.447672,0.0422423616764025,5.87465357060602,0.00771123135905751,14.430933910628806,0.03166954797890873,771.7208759590792,2.50152800829211,11.70686077499995,0.042440141367093495
cifar10,ssb-v2-block,cnn,protocol-v3,0.4,64,5,0.45158000000000004,0.034860536427312766,0.41980399999999995,0.028719872562391363,5.857456844789859,0.007642458859288511,14.345735214922119,0.01621486170476515,755.9207054560954,0.6604632324824331,11.708644866792019,0.040675992974614314
cifar10,ssb-v2-block,cnn,protocol-v3,0.4,128,5,0.36785999999999996,0.09556562143365155,0.373656,0.050007238276073604,5.856492454348795,0.005051451237535879,14.277118170623542,0.016451624813984905,745.0480152387042,1.0037958926636903,11.671544749999885,0.0346132903863645
cifar10,ssb-v2-block,cnn,protocol-v3,0.6,8,5,0.68188,0.005739947734953731,0.669944,0.007337348294854203,5.847460221068826,0.010134899663610471,15.22529753903994,0.03065273023936471,814.8737345481671,2.2519872994988206,11.927365666395053,0.04637945142887432
